City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sampit,ID,76.46,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
1,Palauig,PH,80.65,scattered clouds,15.435,119.9045,Myhousebythesea
5,Rikitea,PF,78.67,overcast clouds,-23.1203,-134.9692,Pension Maro'i
10,Itaituba,BR,86.0,clear sky,-4.2761,-55.9836,Hotel Campos
13,Kahului,US,77.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
14,Prieska,ZA,79.57,clear sky,-29.6641,22.7474,Avenue GuestHouse
15,Vila Velha,BR,82.99,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
19,Mataura,NZ,77.25,clear sky,-46.1927,168.8643,Ellie's Villa
23,Casa Nova,BR,86.0,light rain,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
27,Samarai,PG,85.84,broken clouds,-10.6167,150.6667,Nuli Sapi
29,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
37,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
38,Atuona,PF,80.28,broken clouds,-9.8,-139.0333,Villa Enata
40,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
44,Alenquer,BR,78.8,clear sky,-1.9417,-54.7383,Josilene Castro
46,Butaritari,KI,81.1,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Kavieng,PG,84.74,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
57,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
59,Bonthe,SL,78.87,broken clouds,7.5264,-12.505,Bonthe Holiday Village
60,Fare,PF,82.42,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
62,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
64,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
73,Ayame,CI,76.86,few clouds,5.6083,-3.1563,Hotel Bossan
74,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
80,Tabou,CI,79.11,scattered clouds,4.423,-7.3528,hotêl doufoulougou
83,San Patricio,US,75.2,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
84,Paragominas,BR,77.38,broken clouds,-2.9667,-47.4833,.
85,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
90,Port Blair,IN,77.76,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
91,Port-Gentil,GA,80.6,scattered clouds,-0.7193,8.7815,Fengshui Residence
94,Charlestown,AU,82.0,few clouds,-32.95,151.6667,Panorama Motor Inn Hotel
100,Port Moresby,PG,82.4,haze,-9.4431,147.1797,Lamana Hotel
101,Pointe Michel,DM,77.95,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
102,Kununurra,AU,80.6,overcast clouds,-15.7667,128.7333,Hotel Kununurra
112,Tarauaca,BR,75.63,light rain,-8.1614,-70.7656,Flat Temporada
123,Farafangana,MG,78.58,moderate rain,-22.8167,47.8333,Miarina
125,Alofi,NU,86.0,moderate rain,-19.0595,-169.9187,Taloa Heights
137,Dingle,PH,78.8,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
139,Makakilo City,US,78.8,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
140,Buchanan,LR,75.2,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
141,Carnarvon,AU,80.6,few clouds,-24.8667,113.6333,Hospitality Carnarvon
144,Blackwater,AU,89.78,broken clouds,-23.5833,148.8833,Blackwater Motor Inn
146,Banda Aceh,ID,78.71,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
151,Benito Juarez,MX,77.0,clear sky,19.385,-99.165,Holiday Inn Ciudad de Mexico-Trade Center
153,Ternate,ID,79.74,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
154,Salvador,SV,86.0,few clouds,13.8333,-88.9167,Chico's Ranch
156,Tumbes,PE,84.2,broken clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
157,Eydhafushi,MV,81.05,clear sky,5.1033,73.0708,Soneva Fushi
159,Alyangula,AU,80.6,moderate rain,-13.8483,136.4192,Groote Eylandt Lodge
160,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
165,Vao,NC,77.58,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
166,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Castillo Galapagos
168,Mahebourg,MU,77.0,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
