City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sampit,ID,-2.5333,112.95,76.46,95,100,1.63,light rain
1,Palauig,PH,15.435,119.9045,80.65,70,48,1.34,scattered clouds
2,Medea,DZ,36.2642,2.7539,55.4,88,40,2.3,scattered clouds
3,Palmer,US,42.1584,-72.3287,35.6,35,20,8.05,few clouds
4,Chokurdakh,RU,70.6333,147.9167,-22.81,86,38,3.33,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,78.67,69,100,9.84,overcast clouds
6,Castro,BR,-24.7911,-50.0119,60.71,91,0,9.42,clear sky
7,Busselton,AU,-33.65,115.3333,59.0,98,100,1.99,light rain
8,Jamestown,US,42.097,-79.2353,17.6,53,1,6.91,clear sky
9,Faya,SA,18.3851,42.4509,48.2,76,0,2.64,clear sky
10,Itaituba,BR,-4.2761,-55.9836,86.0,74,0,1.81,clear sky
11,Qaanaaq,GL,77.484,-69.3632,10.09,86,99,7.31,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,51.8,76,40,21.85,scattered clouds
13,Kahului,US,20.8947,-156.47,77.0,50,20,11.5,few clouds
14,Prieska,ZA,-29.6641,22.7474,79.57,33,0,8.66,clear sky
15,Vila Velha,BR,-20.3297,-40.2925,82.99,83,75,8.05,broken clouds
16,Evanston,US,42.0411,-87.6901,10.99,78,90,11.5,snow
17,Otaru,JP,43.1894,141.0022,28.4,74,75,5.75,broken clouds
18,Nouadhibou,MR,20.931,-17.0347,62.6,67,0,18.41,clear sky
19,Mataura,NZ,-46.1927,168.8643,77.25,50,0,2.44,clear sky
20,Chuy,UY,-33.6971,-53.4616,67.64,80,0,10.04,clear sky
21,Kojetin,CZ,49.3518,17.3021,28.99,74,100,5.01,overcast clouds
22,Leshukonskoye,RU,64.8989,45.7622,-20.04,85,17,9.28,few clouds
23,Casa Nova,BR,-9.4167,-41.1333,86.0,35,0,4.61,light rain
24,Motygino,RU,58.1831,94.7592,16.68,97,100,4.54,light snow
25,Dikson,RU,73.5069,80.5464,-28.14,86,90,9.48,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,55.4,58,40,23.02,scattered clouds
27,Samarai,PG,-10.6167,150.6667,85.84,68,84,5.12,broken clouds
28,Shaki,AZ,41.0833,47.1667,44.6,93,0,7.56,clear sky
29,Hilo,US,19.7297,-155.09,80.6,41,1,9.22,clear sky
30,Hermanus,ZA,-34.4187,19.2345,68.0,89,80,1.99,light rain
31,Albany,US,42.6001,-73.9662,28.99,43,1,9.22,clear sky
32,Kamaishi,JP,39.2667,141.8833,32.0,100,75,1.14,mist
33,Lavrentiya,RU,65.5833,-171.0,-8.01,79,0,1.34,clear sky
34,Teknaf,BD,20.8624,92.3058,60.6,63,0,6.06,clear sky
35,Mount Gambier,AU,-37.8333,140.7667,59.0,77,90,8.05,overcast clouds
