City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-02-05 15:10:33,-23.1203,-134.9692,77.88,73,52,12.82
1,Leningradskiy,RU,2021-02-05 15:11:26,69.3833,178.4167,-13.86,87,100,9.31
2,Alihe,CN,2021-02-05 15:09:10,50.5667,123.7167,-10.52,85,63,2.8
3,Yellowknife,CA,2021-02-05 15:10:55,62.456,-114.3525,-38.2,67,1,8.05
4,Punta Arenas,CL,2021-02-05 15:11:09,-53.15,-70.9167,55.4,50,20,28.77
5,Santa Maria Do Suacui,BR,2021-02-05 15:12:44,-18.1903,-42.4142,89.17,50,89,4.85
6,Bluff,NZ,2021-02-05 15:12:01,-46.6,168.3333,53.17,86,100,4.07
7,Mataura,NZ,2021-02-05 15:08:22,-46.1927,168.8643,47.46,94,100,1.59
8,Qaanaaq,GL,2021-02-05 15:12:44,77.484,-69.3632,-14.28,72,22,6.67
9,Meulaboh,ID,2021-02-05 15:11:35,4.1363,96.1285,80.02,76,92,1.83
10,Souillac,MU,2021-02-05 15:12:45,-20.5167,57.5167,82.4,69,40,13.8
11,Nishihara,JP,2021-02-05 15:12:45,26.1842,127.7558,64.4,55,20,4.61
12,Ushuaia,AR,2021-02-05 15:11:58,-54.8,-68.3,50.0,76,40,31.07
13,Qaqortoq,GL,2021-02-05 15:12:45,60.7167,-46.0333,15.8,41,1,4.61
14,Kodiak,US,2021-02-05 15:11:08,57.79,-152.4072,24.8,80,90,6.91
15,Thompson,CA,2021-02-05 15:12:45,55.7435,-97.8558,-18.4,76,75,5.75
16,Khatanga,RU,2021-02-05 15:11:05,71.9667,102.5,-30.12,78,26,8.25
17,Bathsheba,BB,2021-02-05 15:12:46,13.2167,-59.5167,80.6,61,75,17.27
18,Hobart,AU,2021-02-05 15:12:46,-42.8794,147.3294,71.6,83,90,13.8
19,Samarai,PG,2021-02-05 15:08:25,-10.6167,150.6667,81.55,78,2,4.29
20,Krasnyy Chikoy,RU,2021-02-05 15:12:46,50.3643,108.7512,-0.81,89,100,3.38
21,Upernavik,GL,2021-02-05 15:12:46,72.7868,-56.1549,4.03,75,100,3.96
22,Bani,DO,2021-02-05 15:12:46,18.2833,-70.3333,84.2,65,40,6.91
23,Oksfjord,NO,2021-02-05 15:11:48,70.2396,22.3479,30.2,86,90,11.5
24,Mount Gambier,AU,2021-02-05 15:11:38,-37.8333,140.7667,55.4,94,90,12.66
25,Mar Del Plata,AR,2021-02-05 15:12:47,-38.0023,-57.5575,73.4,60,0,6.91
26,Tuktoyaktuk,CA,2021-02-05 15:12:47,69.4541,-133.0374,-29.2,68,40,13.8
27,Korsakov,RU,2021-02-05 15:12:47,46.6328,142.7813,5.0,92,75,6.71
28,Busselton,AU,2021-02-05 15:08:21,-33.65,115.3333,62.01,66,93,4.0
29,Manta,EC,2021-02-05 15:12:47,-0.95,-80.7333,80.6,78,90,10.36
30,Guerrero Negro,MX,2021-02-05 15:12:47,27.9769,-114.0611,56.98,83,0,7.83
31,Aberdeen,GB,2021-02-05 15:12:47,57.1437,-2.0981,37.4,81,90,19.57
32,East London,ZA,2021-02-05 15:10:36,-33.0153,27.9116,69.8,94,75,9.22
33,Bandarbeyla,SO,2021-02-05 15:12:48,9.4942,50.8122,75.0,67,12,12.03
34,Kieta,PG,2021-02-05 15:11:09,-6.2167,155.6333,80.24,80,67,5.26
35,Shahdol,IN,2021-02-05 15:12:48,23.2833,81.35,61.61,46,40,3.36
36,Jamestown,US,2021-02-05 15:12:48,42.097,-79.2353,28.4,69,75,21.85
37,Hermanus,ZA,2021-02-05 15:12:48,-34.4187,19.2345,79.0,67,0,5.01
38,Cape Town,ZA,2021-02-05 15:11:03,-33.9258,18.4232,78.01,64,20,27.63
39,Amuntai,ID,2021-02-05 15:12:48,-2.4177,115.2494,75.36,93,94,1.74
40,Rawson,AR,2021-02-05 15:12:48,-43.3002,-65.1023,83.41,29,0,16.96
41,North Bend,US,2021-02-05 15:11:15,43.4065,-124.2243,42.01,93,90,8.05
42,Padang,ID,2021-02-05 15:12:49,-0.9492,100.3543,78.8,89,40,1.14
43,Dikson,RU,2021-02-05 15:12:02,73.5069,80.5464,-30.93,84,3,14.36
44,Ribeira Grande,PT,2021-02-05 15:12:49,38.5167,-28.7,59.0,63,20,10.36
45,Albany,US,2021-02-05 15:08:23,42.6001,-73.9662,35.01,63,100,4.0
46,Verkhnyaya Inta,RU,2021-02-05 15:12:49,65.9811,60.3094,-0.65,93,100,8.16
47,Port Alberni,CA,2021-02-05 15:12:49,49.2413,-124.8028,37.99,94,71,2.73
48,Kamenka,RU,2021-02-05 15:11:43,51.3223,42.7678,23.0,86,100,13.0
49,Chuy,UY,2021-02-05 15:10:54,-33.6971,-53.4616,67.96,68,73,13.31
50,Barda,AZ,2021-02-05 15:12:50,40.3744,47.1267,59.0,47,75,21.85
51,Mabaruma,GY,2021-02-05 15:12:50,8.2,-59.7833,83.79,63,80,7.78
52,Asau,RO,2021-02-05 15:08:21,46.4333,26.4,39.0,66,98,1.83
53,Bakel,SN,2021-02-05 15:12:50,14.905,-12.4568,96.35,9,100,11.61
54,Klaksvik,FO,2021-02-05 15:11:48,62.2266,-6.589,35.6,60,40,14.97
55,Qeshm,IR,2021-02-05 15:12:51,26.9581,56.2719,73.4,68,0,6.91
56,Eskil,TR,2021-02-05 15:12:51,38.4017,33.4131,50.86,51,0,4.76
57,Kapaa,US,2021-02-05 15:12:51,22.0752,-159.319,63.0,77,90,4.61
58,Ilulissat,GL,2021-02-05 15:12:51,69.2167,-51.1,10.4,37,20,12.66
59,Port Alfred,ZA,2021-02-05 15:10:50,-33.5906,26.891,73.99,86,97,5.99
60,Mangrol,IN,2021-02-05 15:12:51,21.1167,70.1167,72.01,55,0,13.6
61,Barrow,US,2021-02-05 15:11:10,71.2906,-156.7887,-18.4,76,90,12.66
62,Baglung,NP,2021-02-05 15:11:28,28.2719,83.5898,44.83,70,20,3.83
63,Pevek,RU,2021-02-05 15:08:50,69.7008,170.3133,-14.89,88,65,2.57
64,Gouyave,GD,2021-02-05 15:12:52,12.1646,-61.7296,84.2,61,20,20.71
65,Churapcha,RU,2021-02-05 15:12:52,62.0025,132.4325,-37.03,80,100,1.01
66,New Norfolk,AU,2021-02-05 15:12:52,-42.7826,147.0587,70.0,84,100,4.0
67,Longyearbyen,SJ,2021-02-05 15:11:55,78.2186,15.6401,17.6,79,75,2.3
68,Butaritari,KI,2021-02-05 15:12:52,3.0707,172.7902,80.38,83,100,12.08
69,Libreville,GA,2021-02-05 15:10:59,0.3925,9.4537,86.0,74,20,6.91
70,Chifeng,CN,2021-02-05 15:11:05,42.2683,118.9636,23.05,92,100,4.56
71,Salta,AR,2021-02-05 15:12:40,-24.7859,-65.4117,75.2,46,75,4.61
72,Hilo,US,2021-02-05 15:11:12,19.7297,-155.09,63.0,67,1,6.91
73,Saint George,US,2021-02-05 15:12:53,37.1041,-113.5841,30.2,64,1,5.75
74,Atambua,ID,2021-02-05 15:12:54,-9.1061,124.8925,74.98,87,100,3.67
75,Labytnangi,RU,2021-02-05 15:12:54,66.6572,66.4183,-16.96,87,100,9.69
76,Yulara,AU,2021-02-05 15:12:54,-25.2406,130.9889,73.4,28,48,9.22
77,Yinchuan,CN,2021-02-05 15:12:54,38.4681,106.2731,36.09,64,0,6.82
78,Tasiilaq,GL,2021-02-05 15:12:54,65.6145,-37.6368,23.0,58,20,2.3
79,Xichang,CN,2021-02-05 15:12:54,27.8964,102.2634,46.45,56,0,2.21
80,Kalaleh,IR,2021-02-05 15:12:54,37.3807,55.4916,73.4,17,0,11.5
81,Bud,US,2021-02-05 15:12:55,39.447,-86.1758,25.0,74,31,14.76
82,Sinnamary,GF,2021-02-05 15:08:39,5.3833,-52.95,79.48,82,90,14.27
83,Lompoc,US,2021-02-05 15:08:26,34.6391,-120.4579,46.99,100,1,4.61
84,Carnarvon,AU,2021-02-05 15:12:55,-24.8667,113.6333,80.6,80,90,19.57
85,Pacific Grove,US,2021-02-05 15:11:59,36.6177,-121.9166,42.8,65,1,5.75
86,Vila Velha,BR,2021-02-05 15:12:55,-20.3297,-40.2925,90.0,58,0,13.8
87,Flin Flon,CA,2021-02-05 15:11:25,54.7682,-101.865,-20.2,76,1,10.36
88,Priargunsk,RU,2021-02-05 15:08:51,50.3691,119.1012,-14.46,88,0,2.77
89,Saulkrasti,LV,2021-02-05 15:12:56,57.2622,24.4147,19.4,79,90,5.75
90,Lorengau,PG,2021-02-05 15:08:45,-2.0226,147.2712,80.22,80,95,5.97
91,Bengkulu,ID,2021-02-05 15:11:26,-3.8004,102.2655,78.03,85,76,4.09
92,Mehamn,NO,2021-02-05 15:11:44,71.0357,27.8492,30.2,86,75,23.02
93,Arraial Do Cabo,BR,2021-02-05 15:08:20,-22.9661,-42.0278,78.8,89,90,5.75
94,Rundu,NA,2021-02-05 15:12:57,-17.9333,19.7667,84.52,51,100,2.53
95,Saldanha,ZA,2021-02-05 15:08:48,-33.0117,17.9442,80.6,50,3,21.85
96,San Rafael,AR,2021-02-05 15:08:09,-34.6177,-68.3301,81.9,22,0,8.7
97,Ponta Do Sol,PT,2021-02-05 15:11:03,32.6667,-17.1,55.99,58,72,8.01
98,Pangody,RU,2021-02-05 15:12:57,65.85,74.4859,-23.13,87,79,2.68
99,Aktau,KZ,2021-02-05 15:12:57,43.65,51.2,44.6,93,90,6.71
100,Puerto Ayora,EC,2021-02-05 15:10:35,-0.7393,-90.3518,82.4,69,75,10.36
101,Georgetown,MY,2021-02-05 15:12:58,5.4112,100.3354,84.2,74,20,5.75
102,Talara,PE,2021-02-05 15:12:58,-4.5772,-81.2719,75.2,78,90,9.22
103,Novita,CO,2021-02-05 15:12:58,4.9551,-76.6053,80.83,82,81,2.64
104,Esperance,AU,2021-02-05 15:10:40,-33.8667,121.9,59.0,88,75,11.5
105,Magadan,RU,2021-02-05 15:12:58,59.5667,150.8,-4.45,81,99,15.08
106,Polyarnyy,RU,2021-02-05 15:12:58,69.1989,33.4478,14.0,92,40,18.41
107,Ostrovnoy,RU,2021-02-05 15:12:58,68.0531,39.5131,13.1,93,100,15.95
108,Sri Aman,MY,2021-02-05 15:12:58,1.2376,111.4621,75.2,100,100,1.16
109,Norman Wells,CA,2021-02-05 15:08:25,65.282,-126.8329,-25.6,62,75,14.97
110,Semnan,IR,2021-02-05 15:12:59,35.5729,53.3971,52.68,45,100,2.66
111,Almenara,BR,2021-02-05 15:12:59,-16.1836,-40.6944,90.84,48,91,5.68
112,Bethel,US,2021-02-05 15:11:20,41.3712,-73.414,35.6,87,90,10.36
113,Lagoa,PT,2021-02-05 15:09:00,39.05,-27.9833,55.67,72,98,15.55
114,Atuona,PF,2021-02-05 15:12:59,-9.8,-139.0333,79.09,78,40,14.7
115,Sitka,US,2021-02-05 15:13:00,57.0531,-135.33,33.8,100,75,4.61
116,Pangnirtung,CA,2021-02-05 15:09:40,66.1451,-65.7125,8.6,66,90,2.3
117,Katsuura,JP,2021-02-05 15:09:26,35.1333,140.3,53.6,40,75,19.57
118,Castro,BR,2021-02-05 15:11:09,-24.7911,-50.0119,73.08,57,0,7.65
119,Chaoyang,CN,2021-02-05 15:13:00,41.5703,120.4586,32.88,86,100,2.06
120,Bambous Virieux,MU,2021-02-05 15:13:00,-20.3428,57.7575,82.4,69,40,13.8
121,Buston,TJ,2021-02-05 15:13:00,40.2342,69.6948,46.4,49,79,6.71
122,Roma,US,2021-02-05 15:10:06,43.2128,-75.4557,33.8,80,90,9.22
123,Eyl,SO,2021-02-05 15:13:01,7.9803,49.8164,74.95,70,94,15.23
124,Port Lincoln,AU,2021-02-05 15:13:01,-34.7333,135.8667,63.01,79,100,22.17
125,Puerto Baquerizo Moreno,EC,2021-02-05 15:12:27,-0.9,-89.6,80.6,89,40,11.5
126,Arcachon,FR,2021-02-05 15:13:01,44.5875,-1.0519,57.99,82,90,8.05
127,Lixourion,GR,2021-02-05 15:13:01,38.2019,20.4314,60.8,82,0,8.05
128,Kaitangata,NZ,2021-02-05 15:11:41,-46.2817,169.8464,46.51,92,95,5.23
129,Bredasdorp,ZA,2021-02-05 15:11:10,-34.5322,20.0403,77.0,57,0,11.5
130,Dabakala,CI,2021-02-05 15:11:11,8.3667,-4.4333,105.04,18,0,3.24
131,Nome,US,2021-02-05 15:13:02,64.5011,-165.4064,15.8,79,40,23.02
132,Acapulco,MX,2021-02-05 15:11:33,16.8634,-99.8901,78.8,83,20,3.44
133,Tautira,PF,2021-02-05 15:11:13,-17.7333,-149.15,82.0,65,16,1.99
134,Ziro,IN,2021-02-05 15:13:02,27.6333,93.8333,60.8,88,19,1.9
135,Agadez,NE,2021-02-05 15:13:02,19.75,10.25,78.75,16,34,6.73
136,Lavrentiya,RU,2021-02-05 15:13:02,65.5833,-171.0,1.49,92,100,17.07
137,Tadine,NC,2021-02-05 15:13:02,-21.55,167.8833,77.31,86,0,9.82
138,Haifa,IL,2021-02-05 15:13:03,32.8156,34.9892,64.4,77,40,14.97
139,Grand Gaube,MU,2021-02-05 15:13:03,-20.0064,57.6608,81.0,72,0,4.0
140,Mitsamiouli,KM,2021-02-05 15:13:03,-11.3847,43.2844,84.2,79,20,5.75
141,Hasaki,JP,2021-02-05 15:09:11,35.7333,140.8333,41.0,81,75,13.78
142,Shepsi,RU,2021-02-05 15:13:05,44.0361,39.1489,44.71,72,98,10.96
143,Lokosovo,RU,2021-02-05 15:13:05,61.1333,74.8167,9.18,96,100,6.98
144,Hithadhoo,MV,2021-02-05 15:13:05,-0.6,73.0833,82.89,78,100,14.79
145,Salalah,OM,2021-02-05 15:13:05,17.0151,54.0924,75.2,64,40,4.61
146,Nikolskoye,RU,2021-02-05 15:13:05,59.7035,30.7861,8.01,78,20,11.18
147,Vestmannaeyjar,IS,2021-02-05 15:13:05,63.4427,-20.2734,37.4,87,40,25.32
148,Purwa,IN,2021-02-05 15:13:06,26.4667,80.7833,62.6,88,75,3.51
149,Fergus Falls,US,2021-02-05 15:13:06,46.283,-96.0776,1.0,84,90,19.57
150,Izumo,JP,2021-02-05 15:13:06,35.3667,132.7667,44.6,76,90,8.05
151,Broome,US,2021-02-05 15:10:45,42.2506,-75.833,37.99,80,75,13.8
152,Erenhot,CN,2021-02-05 15:13:06,43.6475,111.9767,19.08,89,3,12.41
153,Provideniya,RU,2021-02-05 15:08:27,64.3833,-173.3,3.96,90,100,22.84
154,Tommot,RU,2021-02-05 15:13:06,58.9564,126.2925,-24.93,82,93,2.35
155,Tessalit,ML,2021-02-05 15:13:06,20.1986,1.0114,90.7,9,2,8.5
156,Marsh Harbour,BS,2021-02-05 15:10:51,26.5412,-77.0636,71.22,59,0,15.35
157,Chistogorskiy,RU,2021-02-05 15:13:07,53.9835,87.3843,14.58,94,100,3.27
158,Cabo San Lucas,MX,2021-02-05 15:13:07,22.8909,-109.9124,72.0,43,1,1.19
159,Casper,US,2021-02-05 15:13:07,42.8666,-106.3131,24.01,63,1,19.57
160,Rio Grande,BR,2021-02-05 15:08:39,-32.035,-52.0986,71.6,78,75,14.97
161,Kasongo,CD,2021-02-05 15:13:07,-4.45,26.6667,84.79,71,72,2.57
